time,tag_id,tag_name,blink_id,AN_1,AN_2,AN_3,AN_4,AN_5,AN_6,last_pos_x,last_pos_y,last_pos_z,aver_pos_x,aver_pos_y,aver_pos_z
183546,1835046,Tag_1,22,245334,245328,,,245325,245311,0.1715352718970903,1.8735334891317201,0,0.1715352718970903,1.8735334891317201,0
183546,1835046,Tag_1,23,245877,245872,,,245868,245855,0.7429219250418675,2.1069037384270213,0,0.6000752617556732,2.048561176103196,0.0
183546,1835046,Tag_1,24,246429,246423,,,246420,246406,0.1715352718970903,1.8735334891317201,0,0.278670269361736,1.917290410874589,0.0
183547,1835046,Tag_1,25,246972,246966,,,246963,246950,0.11809261361150479,1.820984520784021,0,0.1582370275490626,1.8450609933066628,0.0
183547,1835046,Tag_1,26,247516,247510,,,247506,247493,-0.08773322107677929,1.3935949772884035,0,-0.02624065892031882,1.5064614812929684,0.0
183547,1835046,Tag_1,27,248067,248062,,,248058,248045,0.7429219250418675,2.1069037384270213,0,0.5506312790513209,1.9567931741435078,0.0
183548,1835046,Tag_1,28,248627,248621,,,248618,248604,0.1715352718970903,1.8735334891317201,0,0.26630927368564794,1.894348410384667,0.0
183548,1835046,Tag_1,29,249195,249189,,,249186,249172,0.1715352718970903,1.8735334891317201,0,0.19522877234422972,1.878737219444957,0.0
183548,1835046,Tag_1,30,249754,249749,,,249745,249732,0.7429219250418675,2.1069037384270213,0,0.605998636867458,2.049862108681505,0.0
183549,1835046,Tag_1,31,250315,250309,,,250305,250292,-0.08773322107677929,1.3935949772884035,0,0.08569974340928004,1.557661760136679,0.0
183549,1835046,Tag_1,32,250875,250869,,,250865,250852,-0.08773322107677929,1.3935949772884035,0,0.06835644696067411,1.5412550818518513,0.0
183549,1835046,Tag_1,33,251434,251429,,,251425,251412,0.7429219250418675,2.1069037384270213,0,0.13581299476879347,1.5978199475093684,0.0
183549,1835046,Tag_1,34,251995,251989,,,251985,251972,-0.08773322107677929,1.3935949772884035,0,0.11345837318423618,1.5773974504872719,0.0
183550,1835046,Tag_1,35,252555,252549,,,252546,252532,0.1715352718970903,1.8735334891317201,0,0.11926606305552159,1.6070110543517167,0.0
183550,1835046,Tag_1,36,253115,253109,,,253106,253092,0.1715352718970903,1.8735334891317201,0,0.12449298393967846,1.633663297829717,0.0
183551,1835046,Tag_1,37,253675,253669,,,253666,253652,0.1715352718970903,1.8735334891317201,0,0.12919721273541965,1.6576503169599173,0.0
183551,1835046,Tag_1,38,254227,254222,,,254218,254205,0.7429219250418675,2.1069037384270213,0,0.19056968396606444,1.7025756591066277,0.0
183551,1835046,Tag_1,39,254779,254774,,,254771,254757,0.8989740665078857,2.4534545924042024,0,0.26141012222024657,1.7776635524363853,0.0
183551,1835046,Tag_1,40,255340,255334,,,255331,255317,0.1715352718970903,1.8735334891317201,0,0.25242263718793095,1.7872505461059187,0.0
183552,1835046,Tag_1,42,256453,256447,,,256444,256430,0.1715352718970903,1.8735334891317201,0,0.2443339006588469,1.7958788404084989,0.0
183552,1835046,Tag_1,43,257005,257000,,,256996,256983,0.7429219250418675,2.1069037384270213,0,0.29419270309714896,1.8269813302103513,0.0
183553,1835046,Tag_1,44,257558,257552,,,257548,257535,-0.08773322107677929,1.3935949772884035,0,0.25600011067975614,1.7836426949181565,0.0
183553,1835046,Tag_1,45,258110,258105,,,258101,258088,0.7429219250418675,2.1069037384270213,0,0.30469229211596727,1.815968799269043,0.0
183553,1835046,Tag_1,46,258663,258657,,,258654,258640,0.1715352718970903,1.8735334891317201,0,0.29137659009407957,1.8217252682553107,0.0
183553,1835046,Tag_1,47,259215,259209,,,259206,259193,0.11809261361150479,1.820984520784021,0,0.27404819244582207,1.8216511935081818,0.0
183554,1835046,Tag_1,48,259768,259762,,,259759,259745,0.1715352718970903,1.8735334891317201,0,0.2637969003909489,1.8268394230705356,0.0
183554,1835046,Tag_1,49,260313,260307,,,260303,260290,-0.08773322107677929,1.3935949772884035,0,0.22864388824417609,1.7835149784923225,0.0
183554,1835046,Tag_1,50,260873,260867,,,260864,260851,0.11809261361150479,1.820984520784021,0,0.21758876078090897,1.7872619327214925,0.0
183555,1835046,Tag_1,51,261418,261412,,,261408,261395,-0.08773322107677929,1.3935949772884035,0,0.18705656259514014,1.7478952371781837,0.0
183555,1835046,Tag_1,52,261971,261965,,,261961,261948,-0.08773322107677929,1.3935949772884035,0,0.1595775842279482,1.7124652111892058,0.0
183555,1835046,Tag_1,53,262523,262517,,,262514,262501,0.11809261361150479,1.820984520784021,0,0.15542908716630388,1.7233171421486875,0.0
183556,1835046,Tag_1,54,263076,263070,,,263067,263053,0.1715352718970903,1.8735334891317201,0,0.15703970563938252,1.7383387768469907,0.0
183556,1835046,Tag_1,55,263621,263615,,,263612,263598,0.1715352718970903,1.8735334891317201,0,0.1584892622651533,1.7518582480754636,0.0
183556,1835046,Tag_1,56,264174,264168,,,264164,264151,-0.08773322107677929,1.3935949772884035,0,0.13386701393096007,1.7160319209967576,0.0
183557,1835046,Tag_1,57,264726,264721,,,264717,264704,0.7429219250418675,2.1069037384270213,0,0.19477250504205082,1.755119102739784,0.0
183557,1835046,Tag_1,58,265279,265274,,,265270,265257,0.7429219250418675,2.1069037384270213,0,0.2495874470420325,1.790297566308508,0.0
183557,1835046,Tag_1,59,265832,265826,,,265823,265810,0.11809261361150479,1.820984520784021,0,0.23643796369897974,1.7933662617560593,0.0
183557,1835046,Tag_1,60,266377,266372,,,266368,266355,0.7429219250418675,2.1069037384270213,0,0.2870863598332685,1.8247200094231555,0.0
183558,1835046,Tag_1,61,266930,266924,,,266921,266908,0.11809261361150479,1.820984520784021,0,0.27018698521109213,1.824346460559242,0.0
183558,1835046,Tag_1,62,267483,267477,,,267474,267461,0.11809261361150479,1.820984520784021,0,0.2549775480511334,1.8240102665817202,0.0
183558,1835046,Tag_1,63,268028,268022,,,268019,268005,0.1715352718970903,1.8735334891317201,0,0.24663332043572908,1.8289625888367202,0.0
183559,1835046,Tag_1,64,268581,268575,,,268572,268558,0.1715352718970903,1.8735334891317201,0,0.2391235155818652,1.8334196788662203,0.0
183559,1835046,Tag_1,65,269118,269112,,,269109,269095,0.1715352718970903,1.8735334891317201,0,0.2323646912133877,1.8374310598927703,0.0
183559,1835046,Tag_1,66,269671,269665,,,269662,269648,0.1715352718970903,1.8735334891317201,0,0.22628174928175798,1.8410413028166654,0.0
183600,1835046,Tag_1,67,270216,270211,,,270207,270194,0.7429219250418675,2.1069037384270213,0,0.27794576685776895,1.867627546377701,0.0
183600,1835046,Tag_1,68,270769,270764,,,270760,270747,0.7429219250418675,2.1069037384270213,0,0.3244433826761788,1.891555165582633,0.0
183600,1835046,Tag_1,70,271867,271862,,,271858,271845,0.7429219250418675,2.1069037384270213,0,0.3662912369127477,1.913090022867072,0.0
183601,1835046,Tag_1,71,272412,272407,,,272403,272390,0.7429219250418675,2.1069037384270213,0,0.4039543057256597,1.932471394423067,0.0
183601,1835046,Tag_1,72,272966,272960,,,272956,272943,-0.08773322107677929,1.3935949772884035,0,0.3547855530454158,1.8785837527096005,0.0
183601,1835046,Tag_1,73,273519,273513,,,273510,273496,0.1715352718970903,1.8735334891317201,0,0.33646052493058326,1.8780787263518126,0.0
183602,1835046,Tag_1,74,274072,274066,,,274063,274049,0.1715352718970903,1.8735334891317201,0,0.319967999627234,1.8776242026298033,0.0
183602,1835046,Tag_1,75,274609,274603,,,274600,274586,0.1715352718970903,1.8735334891317201,0,0.30512472685421965,1.877215131279995,0.0
183602,1835046,Tag_1,76,275162,275157,,,275153,275139,0.7554468395835847,2.1216763709835806,0,0.3501569381271562,1.9016612552503536,0.0
183603,1835046,Tag_1,77,275707,275701,,,275698,275685,0.11809261361150479,1.820984520784021,0,0.32695050567559103,1.8935935818037204,0.0
183603,1835046,Tag_1,78,276260,276254,,,276251,276238,0.11809261361150479,1.820984520784021,0,0.3060647164691824,1.8863326757017504,0.0
183603,1835046,Tag_1,79,276813,276808,,,276804,276791,0.7429219250418675,2.1069037384270213,0,0.34975043732645095,1.9083897819742777,0.0
183603,1835046,Tag_1,80,277359,277353,,,277349,277336,-0.08773322107677929,1.3935949772884035,0,0.3060020714861279,1.8569103015056903,0.0
183604,1835046,Tag_1,81,277912,277906,,,277902,277889,-0.08773322107677929,1.3935949772884035,0,0.2666285422298372,1.8105787690839616,0.0
183604,1835046,Tag_1,82,278449,278443,,,278439,278426,-0.08773322107677929,1.3935949772884035,0,0.23119236589917555,1.7688803899044059,0.0
183604,1835046,Tag_1,83,279002,278997,,,278993,278979,0.7554468395835847,2.1216763709835806,0,0.2836178132676165,1.8041599880123234,0.0
183605,1835046,Tag_1,84,279547,279541,,,279538,279524,0.1715352718970903,1.8735334891317201,0,0.27240955913056386,1.811097338124263,0.0
183605,1835046,Tag_1,85,280092,280087,,,280083,280070,0.7429219250418675,2.1069037384270213,0,0.3194607957216942,1.8406779781545388,0.0
183605,1835046,Tag_1,86,280646,280640,,,280636,280623,-0.08773322107677929,1.3935949772884035,0,0.27874139404184683,1.7959696780679253,0.0
183606,1835046,Tag_1,87,281191,281185,,,281182,281168,0.1715352718970903,1.8735334891317201,0,0.2680207818273712,1.8037260591743047,0.0
183606,1835046,Tag_1,88,281736,281730,,,281727,281713,0.1715352718970903,1.8735334891317201,0,0.25837223083434313,1.8107068021700463,0.0
183606,1835046,Tag_1,89,282281,282276,,,282272,282259,0.7429219250418675,2.1069037384270213,0,0.3068272002550956,1.840326495795744,0.0
183607,1835046,Tag_1,90,282834,282829,,,282825,282812,0.7429219250418675,2.1069037384270213,0,0.35043667273377277,1.8669842200588718,0.0
183607,1835046,Tag_1,91,283380,283374,,,283370,283357,-0.08773322107677929,1.3935949772884035,0,0.30661968335271755,1.819645295781825,0.0
