time,tag_id,tag_name,blink_id,AN_1,AN_2,AN_3,AN_4,AN_5,AN_6,last_pos_x,last_pos_y,last_pos_z,aver_pos_x,aver_pos_y,aver_pos_z
182752,1835046,Tag_1,247,209594,209588,,,209600,209596,1.208528065755401,5.599996245902622,0,1.208528065755401,5.599996245902622,0
182752,1835046,Tag_1,248,210168,210162,,,210174,210170,1.208528065755401,5.599996245902622,0,1.208528065755401,5.599996245902622,0.0
182752,1835046,Tag_1,249,210726,210720,,,210732,210728,1.208528065755401,5.599996245902622,0,1.208528065755401,5.599996245902622,0.0
182753,1835046,Tag_1,251,211858,211853,,,211864,211861,1.7637864157151972,5.321076526171138,0,1.6249718282252483,5.390806456104009,0.0
182753,1835046,Tag_1,252,212417,212411,,,212423,212419,1.208528065755401,5.599996245902622,0,1.3126390063728628,5.547698798452968,0.0
182753,1835046,Tag_1,253,212983,212977,,,212989,212985,1.208528065755401,5.599996245902622,0,1.2345558009097664,5.586921884040208,0.0
182754,1835046,Tag_1,254,213549,213543,,,213555,213551,1.208528065755401,5.599996245902622,0,1.2150349995439922,5.596727655437018,0.0
182754,1835046,Tag_1,0,213987,213981,,,213993,213989,1.208528065755401,5.599996245902622,0,1.2101547992025488,5.59917909828622,0.0
182754,1835046,Tag_1,1,214682,214676,,,214687,214684,1.9985589195372229,4.901681210645898,0,1.8014578894535545,5.076055682555979,0.0
182755,1835046,Tag_1,2,215240,215234,,,215246,215242,1.208528065755401,5.599996245902622,0,1.3567605216799392,5.46901110506596,0.0
182755,1835046,Tag_1,3,215814,215808,,,215820,215817,1.8918383889970285,5.1505706641732285,0,1.4102683084116483,5.437167060976687,0.0
182755,1835046,Tag_1,4,216381,216374,,,216386,216383,2.036569114128056,4.859542440161446,0,1.472898388983289,5.379404598895164,0.0
182756,1835046,Tag_1,5,216939,216933,,,216945,216941,1.208528065755401,5.599996245902622,0,1.4464613566605002,5.40146376359591,0.0
182756,1835046,Tag_1,6,217497,217491,,,217503,217499,1.208528065755401,5.599996245902622,0,1.4226680275699903,5.421317011826582,0.0
182756,1835046,Tag_1,7,218064,218057,,,218069,218066,2.036569114128056,4.859542440161446,0,1.484058136225797,5.365139554660068,0.0
182756,1835046,Tag_1,8,218630,218624,,,218636,218632,1.208528065755401,5.599996245902622,0,1.4565051291787574,5.388625223784324,0.0
182757,1835046,Tag_1,10,219755,219749,,,219761,219757,1.208528065755401,5.599996245902622,0,1.4317074228364217,5.409762325996154,0.0
182757,1835046,Tag_1,11,220322,220315,,,220327,220323,1.6130674181137985,5.058426694567222,0,1.4498434223641594,5.374628762853261,0.0
182758,1835046,Tag_1,12,220880,220874,,,220886,220882,1.208528065755401,5.599996245902622,0,1.4257118867032836,5.397165511158198,0.0
182758,1835046,Tag_1,13,221446,221440,,,221452,221448,1.208528065755401,5.599996245902622,0,1.4039935046084955,5.41744858463264,0.0
182759,1835046,Tag_1,14,222013,222007,,,222019,222015,1.208528065755401,5.599996245902622,0,1.384446960723186,5.435703350759639,0.0
182759,1835046,Tag_1,15,222579,222573,,,222585,222581,1.208528065755401,5.599996245902622,0,1.3668550712264076,5.452132640273938,0.0
182759,1835046,Tag_1,16,223146,223140,,,223152,223148,1.208528065755401,5.599996245902622,0,1.351022370679307,5.466919000836807,0.0
182759,1835046,Tag_1,17,223705,223699,,,223710,223705,-0.14983154598138623,6.078947289939254,0,1.2009369790132376,5.528121829747052,0.0
182800,1835046,Tag_1,18,224271,224265,,,224277,224273,1.208528065755401,5.599996245902622,0,1.201696087687454,5.5353092713626095,0.0
182800,1835046,Tag_1,19,224838,224832,,,224844,224840,1.208528065755401,5.599996245902622,0,1.2023792854942488,5.5417779688166116,0.0
182800,1835046,Tag_1,20,225397,225390,,,225403,225398,0.5334593465984484,5.876996440359925,0,1.1354872916046688,5.575299815970943,0.0
182801,1835046,Tag_1,22,226530,226524,,,226536,226532,1.208528065755401,5.599996245902622,0,1.142791369019742,5.577769458964111,0.0
182801,1835046,Tag_1,23,227096,227091,,,227103,227099,0.09761943746664298,7.087204557997693,0,1.038274175864432,5.72871296886747,0.0
182801,1835046,Tag_1,24,227664,227657,,,227669,227665,1.6130674181137985,5.058426694567222,0,1.0957535000893688,5.661684341437446,0.0
182802,1835046,Tag_1,25,228230,228224,,,228236,228232,1.208528065755401,5.599996245902622,0,1.1070309566559722,5.655515531883964,0.0
182802,1835046,Tag_1,26,228789,228783,,,228795,228791,1.208528065755401,5.599996245902622,0,1.117180667565915,5.64996360328583,0.0
182802,1835046,Tag_1,27,229356,229350,,,229362,229358,1.208528065755401,5.599996245902622,0,1.1263154073848636,5.6449668675475095,0.0
182803,1835046,Tag_1,28,229923,229918,,,229930,229925,-60.81656547540425,63.20744475438426,0,1.1263154073848636,5.6449668675475095,0.0
182803,1835046,Tag_1,29,230491,230485,,,230497,230493,1.208528065755401,5.599996245902622,0,1.1345366732219173,5.640469805383021,0.0
182803,1835046,Tag_1,31,231634,231627,,,231639,231636,2.036569114128056,4.859542440161446,0,1.2247399173125313,5.562377068860863,0.0
182804,1835046,Tag_1,32,232201,232195,,,232207,232203,1.208528065755401,5.599996245902622,0,1.2231187321568182,5.56613898656504,0.0
182804,1835046,Tag_1,33,232769,232763,,,232775,232771,1.208528065755401,5.599996245902622,0,1.2216596655166765,5.569524712498799,0.0
182804,1835046,Tag_1,34,233336,233330,,,233343,233339,0.997316400956863,6.039678598486184,0,1.199225339060695,5.616540101097538,0.0
182805,1835046,Tag_1,35,233921,233914,,,233926,233923,2.036569114128056,4.859542440161446,0,1.2829597165674311,5.540840335003929,0.0
182805,1835046,Tag_1,36,234481,234475,,,234486,234483,1.9985589195372229,4.901681210645898,0,1.3545196368644103,5.476924422568126,0.0
182805,1835046,Tag_1,37,235064,235059,,,235071,235067,0.09761943746664298,7.087204557997693,0,1.2288296169246335,5.637952436111083,0.0
182806,1835046,Tag_1,38,235641,235635,,,235647,235643,1.208528065755401,5.599996245902622,0,1.2267994618077103,5.634156817090237,0.0
182806,1835046,Tag_1,39,236209,236203,,,236215,236212,1.8918383889970285,5.1505706641732285,0,1.2933033545266421,5.585798201798537,0.0
182806,1835046,Tag_1,40,236794,236788,,,236800,236796,1.208528065755401,5.599996245902622,0,1.284825825649518,5.587218006208945,0.0
182806,1835046,Tag_1,41,237371,237365,,,237376,237373,1.9985589195372229,4.901681210645898,0,1.3561991350382885,5.518664326652641,0.0
182807,1835046,Tag_1,42,237940,237933,,,237945,237941,1.6130674181137985,5.058426694567222,0,1.3818859633458396,5.4726405634440995,0.0
182807,1835046,Tag_1,43,238516,238510,,,238522,238518,1.208528065755401,5.599996245902622,0,1.3645501735867958,5.485376131689952,0.0
182808,1835046,Tag_1,44,239093,239087,,,239099,239095,1.208528065755401,5.599996245902622,0,1.3489479628036563,5.496838143111219,0.0
182808,1835046,Tag_1,45,239662,239656,,,239668,239665,1.8918383889970285,5.1505706641732285,0,1.4032370054229937,5.4622113952174205,0.0
182808,1835046,Tag_1,46,240229,240226,,,240237,240234,-34.42510333989652,69.9685569188007,0,1.4032370054229937,5.4622113952174205,0.0
