time,tag_id,tag_name,blink_id,AN_1,AN_2,AN_3,AN_4,AN_5,AN_6,last_pos_x,last_pos_y,last_pos_z,aver_pos_x,aver_pos_y,aver_pos_z
182519,1835046,Tag_1,254,197183,197173,,,197196,197192,0.7861880073764739,7.623716837868117,0,0.7861880073764739,7.623716837868117,0
182519,1835046,Tag_1,0,197637,197627,,,197650,197647,1.4289964546781717,7.073872630897282,0,1.2682943428527471,7.2113336826399905,0.0
182519,1835046,Tag_1,1,198348,198338,,,198361,198357,0.7861880073764739,7.623716837868117,0,0.9067145912455422,7.520621049061086,0.0
182520,1835046,Tag_1,2,198922,198913,,,198936,198932,0.5741287264844693,8.30141274505596,0,0.6572751926747376,8.106214821057241,0.0
182520,1835046,Tag_1,3,199505,199495,,,199518,199514,0.7861880073764739,7.623716837868117,0,0.7539598037010398,7.744341333665398,0.0
182520,1835046,Tag_1,4,200087,200078,,,200101,200097,0.5741287264844693,8.30141274505596,0,0.619086495788612,8.16214489220832,0.0
182521,1835046,Tag_1,5,200670,200660,,,200683,200679,0.7861880073764739,7.623716837868117,0,0.7444126294795084,7.758323851453168,0.0
182521,1835046,Tag_1,6,201244,201235,,,201257,201254,1.4073634795336876,7.136678673563589,0,1.2416257670201427,7.2920899680359845,0.0
182521,1835046,Tag_1,8,202417,202407,,,202430,202427,1.4289964546781717,7.073872630897282,0,1.3821537827636643,7.128426965181958,0.0
182522,1835046,Tag_1,9,203000,202990,,,203013,203009,0.7861880073764739,7.623716837868117,0,0.9351794512232715,7.499894369696578,0.0
182522,1835046,Tag_1,10,203574,203564,,,203587,203583,0.7861880073764739,7.623716837868117,0,0.9202803068385917,7.512276616513732,0.0
182522,1835046,Tag_1,11,204156,204147,,,204170,204166,0.5741287264844693,8.30141274505596,0,0.8856651488031796,7.591190229367955,0.0
182523,1835046,Tag_1,12,204739,204729,,,204752,204748,0.7861880073764739,7.623716837868117,0,0.875717434660509,7.594442890217971,0.0
182523,1835046,Tag_1,13,205321,205312,,,205334,205331,1.4073634795336876,7.136678673563589,0,0.9288820391478269,7.5486664685525335,0.0
182523,1835046,Tag_1,14,205895,205886,,,205909,205905,0.5741287264844693,8.30141274505596,0,0.8934067078814911,7.623941096202876,0.0
182524,1835046,Tag_1,15,206478,206468,,,206491,206488,1.4289964546781717,7.073872630897282,0,0.9469656825611592,7.568934249672317,0.0
182524,1835046,Tag_1,16,207061,207051,,,207074,207070,0.7861880073764739,7.623716837868117,0,0.9308879150426906,7.574412508491897,0.0
182524,1835046,Tag_1,17,207635,207625,,,207648,207644,0.7861880073764739,7.623716837868117,0,0.9164179242760689,7.57934294142952,0.0
182524,1835046,Tag_1,18,208218,208208,,,208230,208227,1.5049160894549516,6.719382620746091,0,0.9752677407939573,7.493346909361177,0.0
182525,1835046,Tag_1,19,208799,208790,,,208813,208809,0.5741287264844693,8.30141274505596,0,0.9351538393630086,7.574153492930656,0.0
182525,1835046,Tag_1,20,209382,209372,,,209396,209391,-0.24980781772453747,8.927250812393007,0,0.8166576736542539,7.709463224876892,0.0
182525,1835046,Tag_1,21,209957,209947,,,209970,209966,0.7861880073764739,7.623716837868117,0,0.8136107070264759,7.700888586176014,0.0
182526,1835046,Tag_1,22,210539,210529,,,210552,210549,1.4289964546781717,7.073872630897282,0,0.8751492817916455,7.638186990648141,0.0
182526,1835046,Tag_1,23,211121,211112,,,211135,211131,0.5741287264844693,8.30141274505596,0,0.845047226260928,7.704509566088924,0.0
182526,1835046,Tag_1,24,211696,211686,,,211709,211705,0.7861880073764739,7.623716837868117,0,0.8391613043724826,7.696430293266844,0.0
182527,1835046,Tag_1,25,212278,212269,,,212292,212288,0.5741287264844693,8.30141274505596,0,0.8126580465836813,7.756928538445756,0.0
182527,1835046,Tag_1,26,212852,212843,,,212866,212862,0.5741287264844693,8.30141274505596,0,0.7888051145737602,7.811376959106776,0.0
182527,1835046,Tag_1,27,213427,213417,,,213440,213437,1.4289964546781717,7.073872630897282,0,0.8528242485842015,7.737626526285827,0.0
182528,1835046,Tag_1,28,214002,213992,,,214015,214011,0.7861880073764739,7.623716837868117,0,0.8461606244634288,7.726235557444056,0.0
182528,1835046,Tag_1,29,214584,214574,,,214597,214593,0.7861880073764739,7.623716837868117,0,0.8401633627547332,7.715983685486463,0.0
182528,1835046,Tag_1,30,215150,215141,,,215164,215160,0.5741287264844693,8.30141274505596,0,0.8135598991277069,7.774526591443413,0.0
182528,1835046,Tag_1,31,215733,215723,,,215746,215743,1.4289964546781717,7.073872630897282,0,0.8751035546827534,7.7044611953888005,0.0
182529,1835046,Tag_1,32,216307,216297,,,216321,216317,0.6680793501849326,8.081601339943507,0,0.8544011342329713,7.742175209844271,0.0
182529,1835046,Tag_1,33,216882,216872,,,216895,216891,0.7861880073764739,7.623716837868117,0,0.8475798215473215,7.730329372646656,0.0
182529,1835046,Tag_1,34,217456,217446,,,217469,217466,1.4289964546781717,7.073872630897282,0,0.9057214848604065,7.664683698471719,0.0
182530,1835046,Tag_1,35,218039,218029,,,218052,218048,0.7861880073764739,7.623716837868117,0,0.8937681371120132,7.660587012411359,0.0
182530,1835046,Tag_1,36,218605,218596,,,218618,218615,1.4073634795336876,7.136678673563589,0,0.9451276713541806,7.608196178526582,0.0
182530,1835046,Tag_1,37,219180,219170,,,219193,219189,0.7861880073764739,7.623716837868117,0,0.92923370495641,7.609748244460736,0.0
182531,1835046,Tag_1,38,219762,219753,,,219775,219772,1.4073634795336876,7.136678673563589,0,0.9770466824141377,7.562441287371022,0.0
182531,1835046,Tag_1,39,220337,220327,,,220350,220346,0.7861880073764739,7.623716837868117,0,0.9579608149103713,7.568568842420731,0.0
182531,1835046,Tag_1,41,221494,221484,,,221507,221503,0.7861880073764739,7.623716837868117,0,0.9407835341569816,7.57408364196547,0.0
182532,1835046,Tag_1,42,222060,222050,,,222073,222069,0.7861880073764739,7.623716837868117,0,0.9253239814789308,7.579046961555735,0.0
182532,1835046,Tag_1,43,222650,222641,,,222664,222660,0.5741287264844693,8.30141274505596,0,0.8902044559794847,7.651283539905759,0.0
182532,1835046,Tag_1,44,223217,223207,,,223230,223227,1.4289964546781717,7.073872630897282,0,0.9440836558493535,7.593542449004912,0.0
182533,1835046,Tag_1,45,223800,223790,,,223813,223809,0.7861880073764739,7.623716837868117,0,0.9282940910020655,7.596559887891233,0.0
182533,1835046,Tag_1,46,224374,224365,,,224387,224384,1.4073634795336876,7.136678673563589,0,0.9762010298552277,7.550571766458469,0.0
182533,1835046,Tag_1,47,224957,224947,,,224970,224967,1.4289964546781717,7.073872630897282,0,1.0214805723375222,7.50290185290235,0.0
182534,1835046,Tag_1,48,225531,225522,,,225544,225541,1.4073634795336876,7.136678673563589,0,1.0600688630571389,7.466279534968474,0.0
182534,1835046,Tag_1,49,226114,226104,,,226127,226123,0.7861880073764739,7.623716837868117,0,1.0326807774890725,7.482023265258439,0.0
182534,1835046,Tag_1,50,226696,226687,,,226709,226706,1.4073634795336876,7.136678673563589,0,1.070149047693534,7.447488806088955,0.0
182534,1835046,Tag_1,51,227271,227261,,,227284,227281,1.4289964546781717,7.073872630897282,0,1.1060337883919977,7.4101271885697875,0.0
182535,1835046,Tag_1,52,227854,227844,,,227867,227863,0.7861880073764739,7.623716837868117,0,1.0740492102904453,7.431486153499621,0.0
182535,1835046,Tag_1,53,228428,228418,,,228442,228438,0.6680793501849326,8.081601339943507,0,1.033452224279894,7.4964976721440095,0.0
182535,1835046,Tag_1,54,229011,229001,,,229024,229020,0.7861880073764739,7.623716837868117,0,1.008725802589552,7.50921958871642,0.0
182536,1835046,Tag_1,55,229586,229576,,,229599,229595,0.7861880073764739,7.623716837868117,0,0.9864720230682442,7.520669313631591,0.0
182536,1835046,Tag_1,56,230168,230159,,,230182,230178,0.5741287264844693,8.30141274505596,0,0.9452376934098667,7.598743656774028,0.0
182536,1835046,Tag_1,57,230751,230742,,,230764,230761,1.4073634795336876,7.136678673563589,0,0.9914502720222489,7.552537158452984,0.0
182537,1835046,Tag_1,58,231318,231308,,,231331,231327,0.7861880073764739,7.623716837868117,0,0.9709240455576714,7.559655126394498,0.0
182537,1835046,Tag_1,60,232483,232474,,,232497,232493,0.5741287264844693,8.30141274505596,0,0.9312445136503512,7.633830888260644,0.0
182538,1835046,Tag_1,61,233074,233064,,,233087,233084,1.4289964546781717,7.073872630897282,0,0.9810197077531333,7.577835062524309,0.0
182538,1835046,Tag_1,62,233649,233639,,,233662,233658,0.7861880073764739,7.623716837868117,0,0.9615365377154673,7.58242324005869,0.0
182538,1835046,Tag_1,63,234232,234222,,,234245,234241,0.7861880073764739,7.623716837868117,0,0.944001684681568,7.586552599839633,0.0
182538,1835046,Tag_1,64,234807,234797,,,234820,234816,0.7861880073764739,7.623716837868117,0,0.9282203169510586,7.590269023642482,0.0
182539,1835046,Tag_1,65,235389,235380,,,235403,235399,0.5741287264844693,8.30141274505596,0,0.8928111579043997,7.66138339578383,0.0
182539,1835046,Tag_1,67,236548,236538,,,236561,236557,0.7861880073764739,7.623716837868117,0,0.8821488428516071,7.6576167399922594,0.0
182540,1835046,Tag_1,68,237131,237121,,,237144,237140,0.7861880073764739,7.623716837868117,0,0.8725527593040938,7.654226749779846,0.0
182540,1835046,Tag_1,69,237713,237704,,,237727,237723,0.5741287264844693,8.30141274505596,0,0.8427103560221314,7.718945349307457,0.0
182540,1835046,Tag_1,70,238297,238287,,,238310,238306,0.7861880073764739,7.623716837868117,0,0.8370581211575656,7.709422498163524,0.0
182541,1835046,Tag_1,71,238880,238870,,,238893,238889,0.7861880073764739,7.623716837868117,0,0.8319711097794564,7.7008519321339834,0.0
182541,1835046,Tag_1,72,239463,239453,,,239476,239473,1.4289964546781717,7.073872630897282,0,0.891673644269328,7.638154002010314,0.0
182541,1835046,Tag_1,73,240046,240037,,,240060,240056,0.5741287264844693,8.30141274505596,0,0.8599191524908423,7.7044798763148785,0.0
182541,1835046,Tag_1,74,240638,240628,,,240651,240647,0.7861880073764739,7.623716837868117,0,0.8525460379794054,7.696403572470203,0.0
182542,1835046,Tag_1,75,241213,241203,,,241226,241222,0.7861880073764739,7.623716837868117,0,0.8459102349191123,7.689134899009995,0.0
182542,1835046,Tag_1,76,241804,241794,,,241818,241814,0.6680793501849326,8.081601339943507,0,0.8281271464456944,7.728381543103346,0.0
182542,1835046,Tag_1,77,242388,242378,,,242401,242397,0.7861880073764739,7.623716837868117,0,0.8239332325387724,7.717915072579824,0.0
182543,1835046,Tag_1,78,242963,242954,,,242976,242973,1.4073634795336876,7.136678673563589,0,0.8822762572382639,7.6597914326782,0.0
182543,1835046,Tag_1,79,243539,243529,,,243552,243548,0.7861880073764739,7.623716837868117,0,0.8726674322520849,7.656183973197193,0.0
182543,1835046,Tag_1,80,244114,244105,,,244127,244123,0.7014214380064778,7.807750275492902,0,0.8555428328275242,7.6713406034267635,0.0
182544,1835046,Tag_1,81,244689,244680,,,244703,244699,0.5741287264844693,8.30141274505596,0,0.8274014221932188,7.734347817589684,0.0
182544,1835046,Tag_1,82,245273,245264,,,245287,245283,0.5741287264844693,8.30141274505596,0,0.8020741526223438,7.791054310336311,0.0
182544,1835046,Tag_1,83,245849,245839,,,245862,245859,1.4289964546781717,7.073872630897282,0,0.8647663828279266,7.719336142392408,0.0
182545,1835046,Tag_1,84,246433,246423,,,246446,246443,1.4289964546781717,7.073872630897282,0,0.9211893900129512,7.654789791242896,0.0
182545,1835046,Tag_1,85,247017,247007,,,247030,247027,1.4289964546781717,7.073872630897282,0,0.9719700964794733,7.5966980752083355,0.0
182545,1835046,Tag_1,86,247585,247575,,,247598,247594,0.7861880073764739,7.623716837868117,0,0.9533918875691734,7.5993999514743145,0.0
182545,1835046,Tag_1,87,248169,248159,,,248182,248178,0.7861880073764739,7.623716837868117,0,0.9366714995499035,7.601831640113695,0.0
182546,1835046,Tag_1,88,248753,248743,,,248766,248762,0.7861880073764739,7.623716837868117,0,0.9216231503325605,7.604020159889138,0.0
182546,1835046,Tag_1,89,249337,249327,,,249350,249347,1.4289964546781717,7.073872630897282,0,0.9723604807671217,7.551005406989953,0.0
182546,1835046,Tag_1,90,249921,249911,,,249934,249931,1.4289964546781717,7.073872630897282,0,1.0180240781582266,7.503292129380686,0.0
182547,1835046,Tag_1,91,250505,250496,,,250518,250515,1.4073634795336876,7.136678673563589,0,1.0569580182957727,7.466630783798976,0.0
182547,1835046,Tag_1,92,251089,251080,,,251103,251099,0.5741287264844693,8.30141274505596,0,1.0086750891146423,7.5501089799246754,0.0
182547,1835046,Tag_1,93,251674,251664,,,251687,251684,1.4289964546781717,7.073872630897282,0,1.0507072256709953,7.502485345021936,0.0
182548,1835046,Tag_1,94,252267,252256,,,252279,252276,1.5116681206093119,6.701304011584824,0,1.096803315164827,7.4223672116782256,0.0
182548,1835046,Tag_1,95,252851,252841,,,252864,252860,0.7861880073764739,7.623716837868117,0,1.0657417843859918,7.442502174297215,0.0
182548,1835046,Tag_1,96,253435,253426,,,253448,253445,1.4073634795336876,7.136678673563589,0,1.0999039539007613,7.411919824223853,0.0
182549,1835046,Tag_1,97,254020,254010,,,254033,254029,0.7861880073764739,7.623716837868117,0,1.0685323592483327,7.43309952558828,0.0
182549,1835046,Tag_1,98,254604,254595,,,254618,254614,0.5741287264844693,8.30141274505596,0,1.0190919959719464,7.519930847535048,0.0
